object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of nuclei,Probability of not leaf,Convex Hull Center_0,Convex Hull Center_1,Convex Hull Center_2,Skewness of Defect Area,Mean Defect Displacement,Kurtosis of Defect Area,Object Area,Defect Center_0,Defect Center_1,Defect Center_2,Object Center_0,Object Center_1,Object Center_2,Convexity,Number of Defects,Convex Hull Area,Variance of Defect Area,Mean Defect Area,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Variance of Intensity_0,Variance of Intensity_1,Covariance of Channel Intensity_0,Covariance of Channel Intensity_1,Covariance of Channel Intensity_2,Covariance of Channel Intensity_3,Size in pixels,Total Intensity_0,Total Intensity_1,Kurtosis of Intensity_0,Kurtosis of Intensity_1,PrincipalAxes_0,PrincipalAxes_1,PrincipalAxes_2,PrincipalAxes_3,Radii of the object_0,Radii of the object_1,Radii of the object_2,Mean Intensity_0,Mean Intensity_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Center of the object_0,Center of the object_1,Center of the object_2,Minimum intensity_0,Minimum intensity_1,Maximum intensity_0,Maximum intensity_1,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Skewness of Intensity_0,Skewness of Intensity_1,Variance of Intensity in neighborhood_0,Variance of Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_0,Covariance of Channel Intensity in neighborhood_1,Covariance of Channel Intensity in neighborhood_2,Covariance of Channel Intensity in neighborhood_3,Total Intensity in neighborhood_0,Total Intensity in neighborhood_1,Mean Intensity in neighborhood_0,Mean Intensity in neighborhood_1,Minimum intensity in neighborhood_0,Minimum intensity in neighborhood_1,Maximum intensity in neighborhood_0,Maximum intensity in neighborhood_1,Skewness of Intensity in neighborhood_0,Skewness of Intensity in neighborhood_1,Kurtosis of Intensity in neighborhood_0,Kurtosis of Intensity in neighborhood_1
0,0,1,0,not leaf,0.17,0.83,1020.5,907.0,9.5,0.0,2.3553128,0.0,474.0,1019.68396,907.0585,10.367966,1021.29535,906.94305,8.654009,0.50641024,1.0,936.0,0.0,462.0,1018.0,901.0,4.0,50.434315,570.4905,50.434315,-6.478832,-6.478832,570.4905,474.0,3784.0,16829.0,1.9880452,1.1431823,-0.012455047,-0.99992245,0.99992245,-0.012455047,3.0122437,2.5842185,1.4430226,7.9831223,35.50422,1024.0,914.0,16.0,1021.29535,906.94305,8.654009,0.0,2.0,42.0,133.0,0.009769706,0.02458289,-0.99965006,-0.9274832,-0.3734192,-0.018247347,0.3737371,-0.92733693,-0.019152023,1.3559223,1.0708724,1.2475237,270.94186,1.2475237,0.38611323,0.38611323,270.94186,7257.0,442243.0,0.33231065,20.251076,0.0,2.0,16.0,184.0,4.2236767,1.7051898,24.517292,4.7571945
1,0,2,0,not leaf,0.21,0.79,978.5,949.5,19.0,0.0,1.321221,0.0,1704.0,978.279,949.63354,19.531843,978.7729,949.3351,18.34331,0.44747898,1.0,3808.0,0.0,2104.0,971.0,943.0,11.0,32.96516,253.2588,32.96516,-1.7661943,-1.7661943,253.2588,1704.0,11903.0,31722.0,2.2881885,8.273692,-0.008016682,-0.9999679,0.9999679,-0.008016682,3.9353359,3.8217294,2.4558709,6.9853287,18.616198,987.0,957.0,28.0,978.7729,949.3351,18.34331,0.0,2.0,36.0,135.0,-0.8455189,-0.021982284,0.5334928,0.512447,-0.31407145,0.7992228,0.14998612,0.94914484,0.2768181,1.2420728,2.1789858,2.1898768,608.23364,2.1898768,-2.341131,-2.341131,608.23364,25147.0,1736533.0,0.3892845,26.882149,0.0,2.0,65.0,237.0,8.115935,1.7547734,150.9104,4.2672486
2,0,3,0,not leaf,0.16,0.84,946.0,986.5,17.0,0.0,0.69151825,0.0,220.0,946.06335,986.67255,16.760563,945.91815,986.2773,17.309092,0.43650794,1.0,504.0,0.0,284.0,943.0,983.0,13.0,54.74403,340.07233,54.74403,-1.3530992,-1.3530992,340.07233,220.0,1303.0,7070.0,5.6983824,0.563884,-0.004742094,-0.99998873,0.99998873,-0.004742094,2.038858,1.5953802,1.4664675,5.922727,32.136364,950.0,991.0,22.0,945.91815,986.2773,17.309092,0.0,2.0,42.0,96.0,-0.41332215,0.5033704,-0.7588037,0.6053131,-0.47065422,-0.64193505,0.68026525,0.72463983,0.110164896,2.1950672,0.8590569,2.4080071,562.0533,2.4080071,-1.3538257,-1.3538257,562.0533,9919.0,924140.0,0.34170455,31.836159,0.0,2.0,38.0,245.0,8.607858,1.3822286,115.54459,2.8921545
3,0,4,0,not leaf,0.19,0.81,954.0,988.5,18.5,0.0,1.1776171,0.0,452.0,954.02844,988.22986,18.191942,953.9469,989.0044,19.075222,0.34876543,1.0,1296.0,0.0,844.0,950.0,983.0,13.0,45.846306,473.34277,45.846306,-37.824123,-37.824123,473.34277,452.0,2640.0,15346.0,5.4060674,1.6846292,-0.08745978,-0.9961681,0.9961681,-0.08745978,2.6427696,2.407926,1.5968318,5.840708,33.95133,959.0,995.0,25.0,953.9469,989.0044,19.075222,0.0,2.0,42.0,149.0,-0.13460852,0.27603015,-0.95167637,0.6230647,0.77037644,0.13531627,-0.7705004,0.57474124,0.27568388,2.0818927,1.0476942,1.9014138,583.1192,1.9014138,-0.8509885,-0.8509885,583.1192,11404.0,1326554.0,0.28133017,32.72533,0.0,1.0,42.0,245.0,9.233651,1.3213468,140.98364,2.574218
4,0,5,0,not leaf,0.39,0.61,303.5,131.0,18.0,0.0,0.3817466,0.0,190.0,303.6433,130.99681,18.01274,303.26315,131.00526,17.978947,0.37698412,1.0,504.0,0.0,314.0,300.0,128.0,14.0,39.928226,204.9504,39.928226,-6.5772576,-6.5772576,204.9504,190.0,1281.0,4379.0,0.38516334,0.96780264,-0.03976223,-0.99920917,0.99920917,-0.03976223,1.9548496,1.5292084,1.3676116,6.7421055,23.047369,308.0,135.0,23.0,303.26315,131.00526,17.978947,0.0,2.0,28.0,79.0,-0.41859382,-0.45629582,-0.7852218,-0.46345192,-0.6362346,0.6167802,0.7810195,-0.62209296,-0.054852705,0.961458,0.9535956,2.7526383,338.77646,2.7526383,-0.2496262,-0.2496262,338.77646,11910.0,813801.0,0.4150115,28.357412,0.0,2.0,35.0,165.0,6.6765184,1.0737312,64.99754,1.6924915
5,0,6,0,nuclei,0.54,0.46,303.0,107.5,18.5,0.0,1.1284199,0.0,217.0,302.94882,107.82326,18.037209,303.0507,107.179726,18.958525,0.5023148,1.0,432.0,0.0,215.0,299.0,105.0,15.0,31.680605,265.458,31.680605,-2.1853724,-2.1853724,265.458,217.0,1339.0,6048.0,1.6115863,0.935916,-0.009346866,-0.9999563,0.9999563,-0.009346866,2.1201463,1.7865561,1.2499284,6.170507,27.870968,308.0,111.0,23.0,303.0507,107.179726,18.958525,0.0,4.0,29.0,84.0,0.9182704,-0.25391313,0.30382168,-0.25272474,0.21484093,0.9433841,0.30481094,0.9430649,-0.13311194,1.2255825,0.98068863,3.059589,412.32193,3.059589,-0.18284109,-0.18284109,412.32193,12217.0,746528.0,0.46313354,28.300087,0.0,2.0,35.0,189.0,6.380872,1.2766738,58.944798,2.4308474
6,0,7,0,not leaf,0.31,0.69,274.5,174.5,20.5,0.0,0.6535479,0.0,119.0,274.67456,174.39053,20.674557,274.2521,174.65546,20.2521,0.41319445,1.0,288.0,0.0,169.0,272.0,172.0,17.0,63.14653,176.36862,63.14653,0.11411624,0.11411624,176.36862,119.0,922.0,2656.0,-0.20011193,-0.27506557,0.0010078957,-0.99999946,0.99999946,0.0010078957,1.6674532,1.2826073,1.2130785,7.747899,22.319328,278.0,178.0,25.0,274.2521,174.65546,20.2521,0.0,2.0,29.0,61.0,0.13864383,0.77265745,-0.61949843,-0.3738841,-0.5384111,-0.7551981,0.9170543,-0.3363242,-0.21423697,0.94355994,0.5852757,2.3732743,321.90286,2.3732743,0.4423963,0.4423963,321.90286,10788.0,616812.0,0.43217692,24.71004,0.0,2.0,26.0,180.0,5.554285,1.4555222,44.449368,3.5008845
7,0,8,0,not leaf,0.25,0.75,1006.5,893.0,23.0,0.0,2.0769923,0.0,1424.0,1006.07245,892.26166,22.568863,1007.0014,893.86584,23.505617,0.46024564,1.0,3094.0,0.0,1670.0,1000.0,885.0,17.0,39.263073,265.95993,39.263073,3.298744,3.298744,265.95993,1424.0,10047.0,35178.0,3.197707,1.4167007,0.014546725,-0.9998942,0.9998942,0.014546725,4.163572,3.0050385,2.4961677,7.0554776,24.703651,1014.0,902.0,30.0,1007.0014,893.86584,23.505617,0.0,2.0,51.0,107.0,-0.3345271,-0.9313323,-0.14391592,0.8763125,-0.25124827,-0.41103616,0.34665263,-0.26361805,0.9001875,1.3980794,1.042149,2.9756227,228.0405,2.9756227,-0.15333258,-0.15333258,228.0405,17709.0,724919.0,0.45632344,18.679628,0.0,2.0,66.0,222.0,10.554074,1.7421587,245.83931,5.7274036
8,0,9,0,not leaf,0.17,0.83,931.0,971.5,26.0,0.0,0.6212894,0.0,568.0,931.1362,971.2309,26.001661,930.85565,971.7852,25.99824,0.4854701,1.0,1170.0,0.0,602.0,927.0,967.0,20.0,24.082867,177.47704,24.082867,5.1792054,5.1792054,177.47704,568.0,3243.0,10688.0,1.3131139,1.0806272,0.033706464,-0.9994318,0.9994318,0.033706464,2.9254196,2.158498,1.92993,5.709507,18.816902,936.0,977.0,33.0,930.85565,971.7852,25.99824,0.0,2.0,28.0,79.0,-0.15552251,0.7342617,-0.660812,0.053166416,-0.6617602,-0.747828,0.98640054,0.1514371,-0.063880555,1.0417833,1.026709,2.5851226,412.93808,2.5851226,0.31240124,0.31240124,412.93808,21409.0,1129001.0,0.48192418,25.414213,0.0,2.0,42.0,205.0,5.9480486,1.6586643,64.152084,4.3646655
9,0,10,0,not leaf,0.32,0.68,307.5,124.5,26.5,0.0,0.5571397,0.0,378.0,307.42578,124.399025,26.377129,307.66138,124.719574,26.767197,0.315,1.0,1200.0,0.0,822.0,303.0,120.0,21.0,48.55559,357.54074,48.55559,-10.47617,-10.47617,357.54074,378.0,2531.0,13917.0,2.3232129,0.7920995,-0.0338468,-0.999427,0.999427,-0.0338468,3.1842318,1.8059598,1.453816,6.6957674,36.81746,313.0,130.0,33.0,307.66138,124.719574,26.767197,0.0,3.0,42.0,125.0,-0.46166205,-0.6280185,-0.62646705,-0.5473698,-0.35405737,0.75830716,0.6980362,-0.6929907,0.18030347,1.4549167,0.7350099,3.581511,379.1472,3.581511,0.65645266,0.65645266,379.1472,19765.0,1167845.0,0.49610943,29.31338,0.0,2.0,36.0,193.0,6.523132,1.1634717,62.091442,2.0927944
